搜尋關鍵字,校系名稱及代碼,招生名額,性別要求,預計甄試人數,原住民外加名額,離島外加名額,願景計畫外加名額,甄試費,指定項目甄試日期,類別,術科考試,扶弱措施,科系校系分則網址,大學問網址
管理學院學士班,元智大學管理學院學士班(主修：數位行銷與人力資源)(040012),60,不要求,180,5,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040012.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504
管理學院學士班、財金,元智大學管理學院學士班(主修：財務金融)(040022),60,不要求,180,5,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040022.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504
管理學院學士班、企管,元智大學管理學院學士班(主修：國際企業管理)(040032),59,不要求,177,5,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040032.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504
管理學院學士班,元智大學管理學院學士班(主修：會計)(040042),40,不要求,120,5,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040042.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504
管理學院學士班、英文,元智大學管理學院學士班(英語專班)(040052),38,不要求,114,無,無,無,1000,112.05.20至112.05.21,一般,否,否,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040052.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1504
應用外語學系、應外,元智大學應用外語學系(040062),27,不要求,81,1,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040062.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1499
中國語文學系,元智大學中國語文學系(040072),30,不要求,90,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040072.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1498
社會暨政策科學學系,元智大學社會暨政策科學學系(040082),33,不要求,99,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040082.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1500
人文社會學院英語學士班、人社,元智大學人文社會學院英語學士班(040092),15,不要求,45,無,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040092.htm?v=1.0,https://www.unews.com.tw/School/Info/58
資訊工程學系、資工,元智大學資訊工程學系(040102),83,不要求,249,3,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040102.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1508
資訊工程學系、資工、apcs,元智大學資訊工程學系(APCS組)(040112),3,不要求,21,無,無,無,800,--,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040112.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1508
資訊管理學系、資管,元智大學資訊管理學系(040122),65,不要求,195,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040122.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1505
資訊傳播學系科技組,元智大學資訊傳播學系科技組(040132),26,不要求,78,2,無,無,1000,112.05.20至112.05.21,一般,否,是,https://www.cac.edu.tw/apply112/system/6ColQry_forh112apply_8wzk94tv//html/112_040132.htm?v=1.0,https://www.unews.com.tw/School/Department/58/1501
